accuracy,f1,n_estimators,max_depth,min_samples_leaf,bootstrap,criterion,predictors,predictor importances,Random Sampling
0.8149433616842747,0.7932320183447815,12,12,4,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.008260270405499408, 0.4871278531101007, 0.4646677367389294, 0.039944139745470474]",0.0
0.8154010450436706,0.7938642795197586,90,12,4,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.007948105983414333, 0.4719249087041311, 0.4819755615855859, 0.038151423726868694]",0.0
0.8154963957435447,0.7940060255859155,75,12,4,True,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.007926367095683373, 0.4710246967483686, 0.48226605838149234, 0.03878287777445562]",0.0
0.8140089248255082,0.7909180827610307,5,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.00792509195269893, 0.5065354277371766, 0.4441763072427443, 0.04136317306737991]",0.0
0.8149052214043251,0.7927698646131112,10,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.006545774308586411, 0.5136902523239764, 0.4412304066434768, 0.03853356672396044]",0.0
0.815687097143293,0.794070157331314,15,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.006309408148767006, 0.4796073560653351, 0.47516482168617913, 0.03891841409971883]",0.0
0.8152675540638469,0.7936861043723712,20,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.006145447922744481, 0.4953688133219666, 0.46107631267351107, 0.03740942608177798]",0.0
0.8153438346237462,0.7936862096308336,25,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.006013959051256254, 0.4882493890214942, 0.46835784537956227, 0.037378806547687264]",0.0
0.8151149929440482,0.7937620516241536,30,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0059198350161137935, 0.48088427221507785, 0.4768466434979905, 0.03634924927081775]",0.0
0.8153438346237462,0.7939797300628665,35,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005905120397251503, 0.47939650474006157, 0.4783225451417058, 0.036375829720981016]",0.0
0.8154582554635951,0.7939360400896626,40,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.005984633375273035, 0.4785010486603557, 0.4788464401399404, 0.03666787782443096]",0.0
0.8155345360234945,0.7940673671596843,45,12,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.006017182390517102, 0.48009597763116724, 0.477256338084548, 0.03663050189376762]",0.0
0.3501086997978565,0.1997768058600013,15,1,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0, 0.4, 0.26666666666666666, 0.3333333333333333]",0.0
0.4665128342042031,0.33667894197203,15,2,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.0, 0.3986387152998361, 0.5328536471773828, 0.06850763752278108]",0.0
0.5073801441702582,0.3907303101946178,15,3,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[6.21469724378378e-05, 0.449552849674114, 0.5171512541699028, 0.033233749183545255]",0.0
0.6141729280292917,0.5278264619605734,15,4,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.001156490781979354, 0.4001151956226491, 0.5638802346462847, 0.034848078949086925]",0.0
0.7235973912048514,0.6663426510128394,15,5,4,False,entropy,"['case AMOUNT_REQ', 'event concept:name', 'prev event', 'time of day']","[0.00010832628310044579, 0.4493532602532824, 0.517403304854315, 0.03313510860930205]",0.0
